Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:88095	NCBI_gene:462	0.03	0.02	0.1875	0.180194805195	0.145	0.145	0.404222766218	0.37619047619
MGI:88075	NCBI_gene:411	0.03	0.02	0.214504820333	0.217391304348	0.2075	0.205	0.615677321157	0.632751937984
MGI:88016	NCBI_gene:271	0.03	0.03	0.147826086957	0.130434782609	0.09	0.085	0.199970614164	0.174392097264
MGI:87986	NCBI_gene:207	0.03	0.02	0.157894736842	0.151515151515	0.175	0.17	0.430555555556	0.412037037037
MGI:87983	NCBI_gene:249	0.03	0.02	0.205479452055	0.2	0.18	0.18	0.663636363636	0.641414141414
MGI:87971	NCBI_gene:54806	0.03	0.02	0.18918128655	0.18	0.18	0.155	0.629944219067	0.601034482759
MGI:87963	NCBI_gene:183	0.03	0.02	0.1875	0.176470588235	0.175	0.16	0.545454545455	0.51117410045
MGI:87914	NCBI_gene:443	0.03	0.02	0.245901639344	0.225806451613	0.1675	0.1675	0.7	0.677364864865
MGI:87906	NCBI_gene:71	0.03	0.02	0.166666666667	0.15625	0.15	0.15	0.371934532649	0.350041771094
MGI:87902	NCBI_gene:58	0.03	0.02	0.225352112676	0.217391304348	0.175	0.175	0.631944444444	0.625
MGI:3643902	NCBI_gene:79158	0.03	0.02	0.206611570248	0.2	0.1625	0.1625	0.567255996691	0.556712962963
MGI:3603820	NCBI_gene:79600	0.03	0.02	0.115168829826	0.104714912281	0.17	0.155	0.306709231097	0.27456622325
MGI:3580376	NCBI_gene:23592	0.03	0.02	0.191197691198	0.181818181818	0.1425	0.1225	0.34527047694	0.318134822167
MGI:3505689	NCBI_gene:1041	0.03	0.02	0.227272727273	0.215838509317	0.18	0.18	0.552854122622	0.552083333333
MGI:3037816	NCBI_gene:375298	0.03	0.03	0.263157894737	0.263157894737	0.095	0.095	0.57036199095	0.558888888889
MGI:2686271	NCBI_gene:80207	0.03	0.02	0.192307692308	0.173913043478	0.13	0.13	0.420955882353	0.366459627329
MGI:2685024	NCBI_gene:79583	0.03	0.02	0.179104477612	0.197356981395	0.195	0.195	0.599400147656	0.571033868093
MGI:2684927	NCBI_gene:55835	0.03	0.02	0.190909090909	0.1875	0.1825	0.1775	0.672884177926	0.638636363636
MGI:2682313	NCBI_gene:63925	0.03	0.02	0.25	0.227272727273	0.06	0.055	0.415322580645	0.363636363636
MGI:2682003	NCBI_gene:25861	0.03	0.03	0.168539325843	0.151515151515	0.175	0.175	0.511736586758	0.470833333333
MGI:2681008	NCBI_gene:204219	0.03	0.03	0.196850393701	0.185185185185	0.185	0.185	0.505050505051	0.477272727273
MGI:2679446	NCBI_gene:114798	0.03	0.03	0.319574468085	0.281746031746	0.11	0.11	1.0	1.0
MGI:2676312	NCBI_gene:26154	0.03	0.02	0.174418604651	0.179487179487	0.205	0.195	0.489915419649	0.504807692308
MGI:2664102	NCBI_gene:1258	0.03	0.02	0.168539325843	0.166666666667	0.135	0.125	0.509245333097	0.510536398467
MGI:2652860	NCBI_gene:57449	0.03	0.02	0.194174757282	0.205882352941	0.125	0.0875	0.337240508195	0.324472096531
MGI:2651573	NCBI_gene:7275	0.03	0.02	0.184615384615	0.166666666667	0.205	0.205	0.526232594487	0.528047360248
MGI:2447362	NCBI_gene:123041	0.03	0.02	0.22641509434	0.2	0.1875	0.185	0.565056818182	0.506818181818
MGI:2446089	NCBI_gene:2317	0.03	0.02	0.2	0.2	0.2675	0.2675	0.708194927618	0.719990079365
MGI:2445208	NCBI_gene:222546	0.03	0.03	0.193277310924	0.227272727273	0.16	0.16	0.40119047619	0.546822742475
MGI:2445027	NCBI_gene:10892	0.03	0.03	0.117283950617	0.107692307692	0.17	0.17	0.258684863524	0.298039215686
MGI:2443455	NCBI_gene:29940	0.03	0.02	0.226497299951	0.238095238095	0.08	0.08	0.390853658537	0.406788793103
MGI:2443342	NCBI_gene:80055	0.03	0.02	0.246913580247	0.229915433404	0.125	0.125	0.474581724582	0.478713768116
MGI:2443198	NCBI_gene:84189	0.03	0.02	0.142466822795	0.128205128205	0.1225	0.1225	0.400309597523	0.363970588235
MGI:2443065	NCBI_gene:8540	0.03	0.03	0.15306122449	0.153846153846	0.085	0.08	0.271578947368	0.277472527473
MGI:2441982	NCBI_gene:7915	0.03	0.03	0.3	0.260869565217	0.11	0.11	0.733333333333	0.727272727273
MGI:2441906	NCBI_gene:2693	0.03	0.03	0.0912698412698	0.10101010101	0.09	0.09	0.452173913043	0.444078947368
MGI:2387643	NCBI_gene:80776	0.03	0.02	0.157894736842	0.15625	0.1625	0.1625	0.544451471176	0.491883116883
MGI:2385906	NCBI_gene:6687	0.03	0.02	0.225	0.193548387097	0.185	0.185	0.493623063683	0.487762237762
MGI:2385254	NCBI_gene:2998	0.03	0.03	0.120512303348	0.103807471264	0.21	0.21	0.600718430506	0.56301843318
MGI:2384790	NCBI_gene:55215	0.03	0.02	0.230769230769	0.214285714286	0.1225	0.1225	0.594470046083	0.573671497585
MGI:2183747	NCBI_gene:121512	0.03	0.02	0.318181818182	0.294117647059	0.1	0.07	0.741935483871	0.727272727273
MGI:2179507	NCBI_gene:2218	0.03	0.02	0.161764705882	0.148936170213	0.135	0.135	0.386904761905	0.384803921569
MGI:2177763	NCBI_gene:3257	0.03	0.02	0.164179104478	0.153846153846	0.2	0.2	0.450396825397	0.470797720798
MGI:2157782	NCBI_gene:92211	0.03	0.02	0.254237288136	0.25	0.16	0.155	0.561085972851	0.573863636364
MGI:2153568	NCBI_gene:121340	0.03	0.02	0.254237288136	0.227272727273	0.13	0.115	0.464513556619	0.428571428571
MGI:2151208	NCBI_gene:57190	0.03	0.02	0.217391304348	0.212443584784	0.2275	0.2275	0.763023679417	0.731907894737
MGI:2150020	NCBI_gene:5889	0.03	0.02	0.2	0.192307692308	0.155	0.155	0.513584117032	0.468181818182
MGI:2148742	NCBI_gene:10686	0.03	0.03	0.198073850524	0.176470588235	0.2	0.195	0.715299277606	0.704166666667
MGI:2145264	NCBI_gene:378884	0.03	0.03	0.147058823529	0.133333333333	0.14	0.14	0.522624434389	0.45625
MGI:2143585	NCBI_gene:9896	0.03	0.02	0.21686746988	0.212121212121	0.2	0.2	0.70177383592	0.671296296296
MGI:2139369	NCBI_gene:51750	0.03	0.02	0.176470588235	0.166666666667	0.135	0.135	0.333562792903	0.341440422323
