Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-060503-723	NCBI_gene:55036	0.02	0.02	0.185185185185	0.192307692308	0.14	0.135	0.384829721362	0.384615384615
ZFIN:ZDB-GENE-060503-499	NCBI_gene:9149	0.02	0.02	0.102272727273	0.0909090909091	0.105	0.105	0.3125	0.341666666667
ZFIN:ZDB-GENE-060307-1	NCBI_gene:79868	0.02	0.02	0.190982776089	0.217391304348	0.105	0.105	0.538888888889	0.552183014354
ZFIN:ZDB-GENE-060126-2	NCBI_gene:585	0.02	0.02	0.125	0.125	0.165	0.1625	0.312770562771	0.329032258065
ZFIN:ZDB-GENE-060126-1	NCBI_gene:582	0.02	0.02	0.126050420168	0.133333333333	0.155	0.145	0.313397129187	0.337365591398
ZFIN:ZDB-GENE-051120-90	NCBI_gene:5498	0.02	0.02	0.196721311475	0.190476190476	0.0625	0.06	0.361394557823	0.385964912281
ZFIN:ZDB-GENE-051102-1	NCBI_gene:4868	0.02	0.02	0.16393442623	0.166666666667	0.155	0.155	0.364414869721	0.344696969697
ZFIN:ZDB-GENE-050913-68	NCBI_gene:25793	0.02	0.02	0.206700122067	0.192307692308	0.0825	0.0825	0.397250147842	0.355357142857
ZFIN:ZDB-GENE-050506-106	NCBI_gene:51124	0.02	0.02	0.180722891566	0.162162162162	0.04	0.04	0.350340136054	0.333333333333
ZFIN:ZDB-GENE-050419-256	NCBI_gene:1106	0.02	0.02	0.123711340206	0.142857142857	0.08	0.08	0.19445571332	0.242857142857
ZFIN:ZDB-GENE-050417-26	NCBI_gene:767	0.02	0.02	0.211267605634	0.218451749735	0.0825	0.0825	0.386217948718	0.390598290598
ZFIN:ZDB-GENE-050327-99	NCBI_gene:23321	0.02	0.02	0.211435378201	0.175492610837	0.06	0.06	0.320900076278	0.304112554113
ZFIN:ZDB-GENE-050327-93	NCBI_gene:2070	0.02	0.02	0.158878504673	0.145833333333	0.195	0.195	0.409102275569	0.357843137255
ZFIN:ZDB-GENE-050327-73	NCBI_gene:26276	0.02	0.02	0.169491525424	0.179487179487	0.19	0.19	0.441737577047	0.449561403509
ZFIN:ZDB-GENE-050320-85	NCBI_gene:1629	0.02	0.02	0.1021567718	0.09375	0.1	0.1	0.458333333333	0.550505050505
ZFIN:ZDB-GENE-050309-187	NCBI_gene:119559	0.02	0.02	0.16	0.135135135135	0.155	0.155	0.49375	0.456233421751
ZFIN:ZDB-GENE-050302-100	NCBI_gene:57674	0.02	0.02	0.284523809524	0.25462962963	0.1425	0.1425	0.497568682164	0.465625
ZFIN:ZDB-GENE-050208-97	NCBI_gene:51151	0.02	0.02	0.181818181818	0.181818181818	0.155	0.155	0.50800315568	0.494444444444
ZFIN:ZDB-GENE-050107-1	NCBI_gene:2065	0.02	0.02	0.172727272727	0.176470588235	0.095	0.095	0.322857142857	0.306666666667
ZFIN:ZDB-GENE-041210-165	NCBI_gene:11081	0.02	0.015	0.201727642276	0.186342592593	0.035	0.0275	0.301960784314	0.287990196078
ZFIN:ZDB-GENE-041114-11	NCBI_gene:78989	0.02	0.02	0.184210526316	0.162790697674	0.1325	0.1325	0.345394736842	0.314692982456
ZFIN:ZDB-GENE-041111-255	NCBI_gene:9780	0.02	0.01	0.114285714286	0.136363636364	0.22	0.195	0.566666666667	0.545977011494
ZFIN:ZDB-GENE-041111-216	NCBI_gene:4703	0.02	0.02	0.223880597015	0.227272727273	0.14	0.14	0.585365853659	0.578125
ZFIN:ZDB-GENE-041108-2	NCBI_gene:6834	0.02	0.02	0.173076923077	0.16	0.125	0.12	0.445779220779	0.438179974184
ZFIN:ZDB-GENE-041020-1	NCBI_gene:7092	0.02	0.02	0.145993179881	0.161290322581	0.045	0.04	0.236929949846	0.268311790051
ZFIN:ZDB-GENE-041001-112	NCBI_gene:3791	0.02	0.02	0.175438596491	0.217391304348	0.1	0.1	0.41124871001	0.383695652174
ZFIN:ZDB-GENE-040808-32	NCBI_gene:1145	0.02	0.02	0.211538461538	0.181818181818	0.185	0.185	0.605769230769	0.590909090909
ZFIN:ZDB-GENE-040801-40	NCBI_gene:9531	0.02	0.02	0.203793599425	0.208333333333	0.16	0.16	0.492948717949	0.561111111111
ZFIN:ZDB-GENE-040801-248	NCBI_gene:246329	0.02	0.02	0.0833333333333	0.0857142857143	0.17	0.17	0.314009661836	0.282738095238
ZFIN:ZDB-GENE-040801-106	NCBI_gene:2743	0.02	0.02	0.166666666667	0.155555555556	0.125	0.12	0.464285714286	0.47972972973
ZFIN:ZDB-GENE-040724-82	NCBI_gene:9439	0.02	0.02	0.247194719472	0.243421052632	0.0225	0.0225	0.469516092108	0.460069444444
ZFIN:ZDB-GENE-040724-10	NCBI_gene:9733	0.02	0.02	0.14751552795	0.149286987522	0.05	0.05	0.303382352941	0.292236568552
ZFIN:ZDB-GENE-040718-44	NCBI_gene:284654	0.02	0.02	0.192110655738	0.260869565217	0.08	0.065	0.303802816901	0.293384247332
ZFIN:ZDB-GENE-040718-328	NCBI_gene:11231	0.02	0.02	0.166666666667	0.174442190669	0.095	0.095	0.412878787879	0.375
ZFIN:ZDB-GENE-040712-6	NCBI_gene:83605	0.02	0.02	0.230769230769	0.235294117647	0.115	0.105	0.399217221135	0.361818181818
ZFIN:ZDB-GENE-040704-64	NCBI_gene:5654	0.02	0.02	0.196078431373	0.210526315789	0.045	0.0425	0.387820512821	0.377403846154
ZFIN:ZDB-GENE-040704-35	NCBI_gene:95681	0.02	0.02	0.176470588235	0.178571428571	0.155	0.15	0.426621621622	0.415384615385
ZFIN:ZDB-GENE-040625-147	NCBI_gene:6135	0.02	0.02	0.173076923077	0.172413793103	0.17	0.155	0.44696969697	0.454166666667
ZFIN:ZDB-GENE-040623-3	NCBI_gene:51339	0.02	0.02	0.251522248244	0.277777777778	0.12	0.115	0.646481092437	0.64978403949
ZFIN:ZDB-GENE-040520-1	NCBI_gene:63894	0.02	0.02	0.111111111111	0.129032258065	0.27	0.27	0.259555785124	0.286666666667
ZFIN:ZDB-GENE-040426-838	NCBI_gene:9897	0.02	0.02	0.157894736842	0.166666666667	0.16	0.16	0.413930789707	0.444168734491
ZFIN:ZDB-GENE-040426-836	NCBI_gene:7283	0.02	0.02	0.208333333333	0.206896551724	0.105	0.09	0.519230769231	0.527777777778
ZFIN:ZDB-GENE-040426-2656	NCBI_gene:1644	0.02	0.02	0.194805194805	0.189189189189	0.0825	0.0825	0.469402439312	0.433862433862
ZFIN:ZDB-GENE-040426-2466	NCBI_gene:84916	0.02	0.02	0.13831352575	0.1875	0.215	0.215	0.508662666841	0.479358974359
ZFIN:ZDB-GENE-040426-2338	NCBI_gene:161742	0.02	0.02	0.217391304348	0.209914320685	0.08	0.08	0.336144388398	0.33962684489
ZFIN:ZDB-GENE-040426-2185	NCBI_gene:7170	0.02	0.02	0.205479452055	0.2	0.15	0.135	0.489929570959	0.449240890688
ZFIN:ZDB-GENE-040426-2009	NCBI_gene:7317	0.02	0.02	0.144930918596	0.142857142857	0.12	0.12	0.494340459298	0.462732919255
ZFIN:ZDB-GENE-040426-1600	NCBI_gene:4292	0.02	0.02	0.210526315789	0.2	0.07	0.065	0.475877192982	0.451690821256
ZFIN:ZDB-GENE-040426-1457	NCBI_gene:6473	0.02	0.02	0.142857142857	0.142857142857	0.0925	0.0775	0.271067234482	0.254684306155
ZFIN:ZDB-GENE-040426-1366	NCBI_gene:83706	0.02	0.02	0.264705882353	0.256363636364	0.135	0.13	0.550084990624	0.544791666667
ZFIN:ZDB-GENE-040426-1241	NCBI_gene:9197	0.02	0.02	0.150630252101	0.159090909091	0.145	0.145	0.219691991287	0.240422077922
ZFIN:ZDB-GENE-040426-1010	NCBI_gene:2521	0.02	0.02	0.05	0.0588235294118	0.08	0.08	0.332512315271	0.333333333333
ZFIN:ZDB-GENE-040409-1	NCBI_gene:3110	0.02	0.02	0.164705882353	0.158492822967	0.1275	0.125	0.268687514532	0.263888888889
ZFIN:ZDB-GENE-040309-2	NCBI_gene:4618	0.02	0.02	0.0544802867384	0.0550505050505	0.0625	0.0575	0.184076286765	0.20418956044
ZFIN:ZDB-GENE-040303-4	NCBI_gene:7424	0.02	0.02	0.1875	0.217391304348	0.025	0.02	0.267428892786	0.292748273398
ZFIN:ZDB-GENE-040206-1	NCBI_gene:2273	0.02	0.02	0.225490196078	0.227272727273	0.135	0.135	0.513305322129	0.526348039216
ZFIN:ZDB-GENE-040123-1	NCBI_gene:1028	0.02	0.02	0.184615384615	0.173913043478	0.175	0.17	0.383333333333	0.384615384615
ZFIN:ZDB-GENE-031217-3	NCBI_gene:2700	0.02	0.02	0.169934640523	0.160714285714	0.12	0.12	0.417921527041	0.388596491228
ZFIN:ZDB-GENE-031118-55	NCBI_gene:3758	0.02	0.02	0.220588235294	0.2	0.085	0.085	0.415172166428	0.394117647059
