Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-070117-519	NCBI_gene:1409	0.08	0.08	0.220588235294	0.2	0.15	0.15	0.610233918129	0.540860215054
ZFIN:ZDB-GENE-070117-519	NCBI_gene:10002	0.08	0.08	0.214285714286	0.2	0.145	0.145	0.599880382775	0.516666666667
ZFIN:ZDB-GENE-070117-510	NCBI_gene:84839	0.08	0.08	0.209302325581	0.2	0.11	0.105	0.24168345024	0.243421052632
ZFIN:ZDB-GENE-070117-510	NCBI_gene:583	0.08	0.08	0.211764705882	0.206896551724	0.145	0.135	0.448656606551	0.388617886179
ZFIN:ZDB-GENE-070117-508	NCBI_gene:768206	0.08	0.08	0.215189873418	0.2	0.12	0.115	0.435624184428	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:4763	0.08	0.08	0.225352112676	0.217391304348	0.145	0.125	0.395015906681	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:3889	0.08	0.08	0.230769230769	0.222222222222	0.11	0.11	0.444821731749	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:26873	0.08	0.08	0.212858094604	0.25	0.08	0.08	0.276877761414	0.314948844259
ZFIN:ZDB-GENE-070117-480	NCBI_gene:57704	0.08	0.08	0.3375	0.316985645933	0.1	0.1	0.648047251688	0.606092436975
ZFIN:ZDB-GENE-070117-463	NCBI_gene:3889	0.08	0.08	0.238095238095	0.222222222222	0.11	0.11	0.452153110048	0.391666666667
ZFIN:ZDB-GENE-070117-34	NCBI_gene:1409	0.08	0.08	0.215576592083	0.2	0.095	0.095	0.36358503535	0.327690700104
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:10002	0.08	0.08	0.28	0.272727272727	0.1175	0.1125	0.463825757576	0.43799734748
ZFIN:ZDB-GENE-070117-2250	NCBI_gene:23189	0.08	0.08	0.352941176471	0.333333333333	0.08	0.08	0.613810741688	0.564102564103
ZFIN:ZDB-GENE-070117-2230	NCBI_gene:583	0.08	0.08	0.223529411765	0.21875	0.1175	0.1125	0.429545454545	0.389912280702
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:10167	0.08	0.08	0.260869565217	0.3	0.08	0.08	0.321428571429	0.427272727273
ZFIN:ZDB-GENE-070117-1443	NCBI_gene:406960	0.08	0.08	0.186666666667	0.25	0.15	0.15	0.215284552846	0.28125
ZFIN:ZDB-GENE-070117-1443	NCBI_gene:3035	0.08	0.08	0.171428571429	0.222222222222	0.15	0.15	0.207665505226	0.267361111111
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:768206	0.08	0.08	0.233009708738	0.227272727273	0.165	0.165	0.413379854369	0.409090909091
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:10847	0.08	0.08	0.234722222222	0.238095238095	0.155	0.15	0.286375195618	0.292124542125
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:100151683	0.08	0.08	0.237623762376	0.235294117647	0.22	0.22	0.423896626951	0.417647058824
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:768206	0.08	0.08	0.233009708738	0.227272727273	0.165	0.165	0.413379854369	0.409090909091
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:6899	0.08	0.08	0.233171521036	0.235294117647	0.155	0.15	0.421670506281	0.417647058824
ZFIN:ZDB-GENE-070117-1273	NCBI_gene:6899	0.08	0.08	0.205479452055	0.181818181818	0.12	0.12	0.48545577541	0.450284090909
ZFIN:ZDB-GENE-070117-124	NCBI_gene:137814	0.08	0.08	0.241628264209	0.23128342246	0.135	0.135	0.32240704501	0.324835526316
ZFIN:ZDB-GENE-061116-1	NCBI_gene:406960	0.08	0.08	0.201492537313	0.2	0.085	0.08	0.236353538559	0.237212276215
ZFIN:ZDB-GENE-061116-1	NCBI_gene:284058	0.08	0.08	0.21359223301	0.213525835866	0.19	0.19	0.397030651341	0.391414141414
ZFIN:ZDB-GENE-070117-1826	NCBI_gene:602	0.075	0.07	0.230263157895	0.232142857143	0.0875	0.085	0.32689628483	0.319196428571
ZFIN:ZDB-GENE-070117-385	NCBI_gene:7012	0.07	0.06	0.243243243243	0.25	0.12	0.11	0.325261845005	0.333754208754
ZFIN:ZDB-GENE-070117-385	NCBI_gene:6899	0.07	0.06	0.228813559322	0.228571428571	0.1925	0.1875	0.574355486173	0.592587245277
ZFIN:ZDB-GENE-070117-385	NCBI_gene:5669	0.07	0.06	0.181270536692	0.184389140271	0.07	0.06	0.252978796805	0.249281609195
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:28395	0.07	0.055	0.230769230769	0.235294117647	0.085	0.08	0.370070778564	0.366666666667
ZFIN:ZDB-GENE-070117-1852	NCBI_gene:268	0.07	0.06	0.215189873418	0.206896551724	0.09	0.085	0.23417721519	0.224137931034
ZFIN:ZDB-GENE-070117-1673	NCBI_gene:100151683	0.07	0.06	0.171974522293	0.146341463415	0.11	0.105	0.239048485636	0.198170731707
ZFIN:ZDB-GENE-070117-1029	NCBI_gene:1646	0.07	0.06	0.173076923077	0.142857142857	0.07	0.06	0.179561717352	0.148351648352
ZFIN:ZDB-GENE-070117-1029	NCBI_gene:1617	0.07	0.06	0.161538461538	0.131428571429	0.13	0.125	0.209241452991	0.177783251232
ZFIN:ZDB-GENE-070117-124	NCBI_gene:146227	0.065	0.06	0.21895149986	0.2	0.105	0.105	0.554465609287	0.487055311891
ZFIN:ZDB-GENE-070117-869	NCBI_gene:768206	0.06	0.05	0.283018867925	0.266666666667	0.0925	0.0875	0.416820965674	0.404924242424
ZFIN:ZDB-GENE-070117-2230	NCBI_gene:6638	0.06	0.04	0.230769230769	0.21875	0.1125	0.1125	0.429545454545	0.389912280702
ZFIN:ZDB-GENE-070117-1273	NCBI_gene:3753	0.055	0.055	0.224877130608	0.209285714286	0.0975	0.0975	0.335967977068	0.310525210084
ZFIN:ZDB-GENE-120229-1	NCBI_gene:143187	0.05	0.04	0.173416198877	0.15625	0.125	0.1225	0.277434423014	0.243612596554
ZFIN:ZDB-GENE-090416-5	NCBI_gene:57704	0.05	0.04	0.210407021605	0.190339275446	0.105	0.1	0.487919560185	0.454544637723
ZFIN:ZDB-GENE-090416-5	NCBI_gene:3119	0.05	0.04	0.226666666667	0.206896551724	0.105	0.1	0.496049382716	0.462823275862
ZFIN:ZDB-GENE-090416-5	NCBI_gene:100151683	0.05	0.04	0.203389830508	0.178571428571	0.105	0.1	0.458837772397	0.404100529101
ZFIN:ZDB-GENE-070912-300	NCBI_gene:340061	0.05	0.04	0.185185185185	0.178571428571	0.1	0.065	0.299789325843	0.286290322581
ZFIN:ZDB-GENE-070117-869	NCBI_gene:219844	0.05	0.04	0.269662921348	0.260869565217	0.1225	0.1175	0.563529411765	0.544817927171
ZFIN:ZDB-GENE-070117-64	NCBI_gene:10167	0.05	0.05	0.25469924812	0.294117647059	0.065	0.065	0.302297864226	0.360984848485
ZFIN:ZDB-GENE-070117-385	NCBI_gene:10758	0.05	0.04	0.225684350775	0.25	0.13	0.125	0.52501338091	0.540786108494
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:162514	0.05	0.04	0.285714285714	0.285714285714	0.1325	0.1075	0.427447552448	0.429226918799
ZFIN:ZDB-GENE-070117-1852	NCBI_gene:23189	0.05	0.04	0.184210526316	0.178571428571	0.12	0.115	0.286549707602	0.274470899471
ZFIN:ZDB-GENE-070117-1826	NCBI_gene:83552	0.05	0.04	0.181818181818	0.170731707317	0.085	0.075	0.204545454545	0.194740853659
ZFIN:ZDB-GENE-070117-1826	NCBI_gene:6928	0.05	0.04	0.184210526316	0.176470588235	0.06	0.05	0.221318746304	0.20944741533
ZFIN:ZDB-GENE-070117-1826	NCBI_gene:286887	0.05	0.04	0.20987654321	0.206896551724	0.085	0.075	0.218574635241	0.212823275862
ZFIN:ZDB-GENE-070117-1812	NCBI_gene:84839	0.05	0.04	0.181818181818	0.170731707317	0.085	0.075	0.20202020202	0.185365853659
ZFIN:ZDB-GENE-070117-1812	NCBI_gene:6935	0.05	0.04	0.163522012579	0.171428571429	0.085	0.075	0.1928721174	0.192857142857
ZFIN:ZDB-GENE-070117-1794	NCBI_gene:4909	0.05	0.04	0.196078431373	0.189189189189	0.05	0.04	0.209150326797	0.194594594595
ZFIN:ZDB-GENE-070117-1794	NCBI_gene:28395	0.05	0.04	0.20987654321	0.205882352941	0.075	0.07	0.317438271605	0.306066176471
ZFIN:ZDB-GENE-070117-1673	NCBI_gene:6899	0.05	0.04	0.155555555556	0.132075471698	0.14	0.135	0.341666666667	0.334330418776
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:10758	0.05	0.04	0.241935483871	0.25	0.205	0.2	0.426052487698	0.425
ZFIN:ZDB-GENE-070117-1273	NCBI_gene:7012	0.05	0.04	0.205479452055	0.178571428571	0.105	0.1	0.45988258317	0.404100529101
ZFIN:ZDB-GENE-070117-1273	NCBI_gene:23189	0.05	0.04	0.25641025641	0.233333333333	0.095	0.09	0.291571464839	0.275203252033
ZFIN:ZDB-GENE-070117-1213	NCBI_gene:94	0.05	0.04	0.15356541269	0.131147540984	0.13	0.125	0.303197800684	0.270119225037
ZFIN:ZDB-GENE-070117-1213	NCBI_gene:583	0.05	0.04	0.152181904112	0.12962962963	0.1	0.095	0.214021986539	0.177059712774
ZFIN:ZDB-GENE-070117-1213	NCBI_gene:3043	0.05	0.04	0.156862745098	0.132075471698	0.13	0.125	0.304846466889	0.270583190395
ZFIN:ZDB-GENE-070117-1213	NCBI_gene:286887	0.05	0.04	0.158878504673	0.142857142857	0.05	0.04	0.172359606319	0.149206349206
ZFIN:ZDB-GENE-070117-1029	NCBI_gene:10847	0.05	0.04	0.153120243531	0.132075471698	0.1	0.095	0.214491156248	0.180621069182
ZFIN:ZDB-GENE-040801-41	NCBI_gene:143187	0.05	0.04	0.2	0.192307692308	0.11	0.11	0.289307128581	0.271825396825
ZFIN:ZDB-GENE-080317-3	NCBI_gene:3921	0.045	0.04	0.196078431373	0.176470588235	0.1125	0.11	0.350709939148	0.343403271693
ZFIN:ZDB-GENE-070117-1826	NCBI_gene:3921	0.045	0.04	0.175572519084	0.166666666667	0.0725	0.07	0.279275621244	0.259009009009
ZFIN:ZDB-GENE-070117-463	NCBI_gene:6928	0.04	0.04	0.216494845361	0.192928039702	0.115	0.115	0.443449048152	0.383333333333
ZFIN:ZDB-GENE-070117-1826	NCBI_gene:340061	0.04	0.04	0.207317073171	0.2	0.145	0.145	0.315423242468	0.303125
ZFIN:ZDB-GENE-070117-1812	NCBI_gene:2483	0.04	0.03	0.181270536692	0.166666666667	0.17	0.165	0.381175808887	0.35119047619
ZFIN:ZDB-GENE-070117-1794	NCBI_gene:85301	0.04	0.03	0.185185185185	0.166666666667	0.055	0.045	0.204952143154	0.19623655914
ZFIN:ZDB-GENE-070117-1673	NCBI_gene:100288687	0.04	0.03	0.140186915888	0.117461568782	0.085	0.08	0.178201566052	0.151754040205
ZFIN:ZDB-GENE-051108-1	NCBI_gene:286887	0.04	0.04	0.204819277108	0.206896551724	0.0925	0.0875	0.397557224818	0.378008192524
ZFIN:ZDB-GENE-090929-154	NCBI_gene:4909	0.035	0.03	0.260012515645	0.24154589372	0.0725	0.065	0.275594493116	0.26245210728
ZFIN:ZDB-GENE-121128-4	NCBI_gene:6638	0.03	0.02	0.192307692308	0.2	0.14	0.135	0.411206896552	0.430944055944
ZFIN:ZDB-GENE-090416-5	NCBI_gene:7503	0.03	0.02	0.192307692308	0.166666666667	0.03	0.02	0.199602122016	0.174242424242
ZFIN:ZDB-GENE-090416-5	NCBI_gene:100288687	0.03	0.02	0.20987654321	0.1875	0.095	0.09	0.462081128748	0.408564814815
ZFIN:ZDB-GENE-080317-3	NCBI_gene:6899	0.03	0.02	0.195652173913	0.171428571429	0.1675	0.1425	0.409523809524	0.381537751042
ZFIN:ZDB-GENE-080317-3	NCBI_gene:6638	0.03	0.02	0.2	0.171428571429	0.085	0.08	0.302373472518	0.280555555556
ZFIN:ZDB-GENE-080317-3	NCBI_gene:3889	0.03	0.02	0.186274509804	0.147058823529	0.11	0.075	0.274070945946	0.267577030812
ZFIN:ZDB-GENE-080317-3	NCBI_gene:3887	0.03	0.02	0.186274509804	0.147058823529	0.11	0.075	0.274070945946	0.267577030812
ZFIN:ZDB-GENE-080317-3	NCBI_gene:340061	0.03	0.02	0.197601010101	0.166666666667	0.105	0.1	0.365499346192	0.352813549832
ZFIN:ZDB-GENE-070426-2	NCBI_gene:4763	0.03	0.02	0.216494845361	0.212121212121	0.16	0.155	0.414027149321	0.395933014354
ZFIN:ZDB-GENE-070202-3	NCBI_gene:84839	0.03	0.02	0.211267605634	0.185185185185	0.09	0.08	0.245757837216	0.224747474747
ZFIN:ZDB-GENE-070202-3	NCBI_gene:3035	0.03	0.02	0.194805194805	0.166666666667	0.09	0.08	0.264364961086	0.238636363636
ZFIN:ZDB-GENE-070119-5	NCBI_gene:3119	0.03	0.02	0.210526315789	0.2	0.14	0.135	0.460702271255	0.427507836991
ZFIN:ZDB-GENE-070117-920	NCBI_gene:583	0.03	0.02	0.191391941392	0.230769230769	0.145	0.12	0.273327549643	0.346153846154
ZFIN:ZDB-GENE-070117-730	NCBI_gene:7503	0.03	0.02	0.192307692308	0.178571428571	0.03	0.02	0.199602122016	0.186059907834
ZFIN:ZDB-GENE-070117-632	NCBI_gene:6201	0.03	0.02	0.172413793103	0.162162162162	0.115	0.115	0.279119930975	0.317857142857
ZFIN:ZDB-GENE-070117-628	NCBI_gene:3043	0.03	0.02	0.236111111111	0.217391304348	0.09	0.085	0.43384502924	0.375362318841
ZFIN:ZDB-GENE-070117-527	NCBI_gene:5032	0.03	0.02	0.35	0.3125	0.085	0.085	0.688920454545	0.625
ZFIN:ZDB-GENE-070117-519	NCBI_gene:80222	0.03	0.03	0.230769230769	0.208333333333	0.115	0.115	0.408163265306	0.416971916972
ZFIN:ZDB-GENE-070117-519	NCBI_gene:5644	0.03	0.03	0.169014084507	0.160714285714	0.11	0.11	0.308333333333	0.326470588235
ZFIN:ZDB-GENE-070117-519	NCBI_gene:103	0.03	0.02	0.238095238095	0.208333333333	0.12	0.115	0.593012411829	0.527891156463
ZFIN:ZDB-GENE-070117-512	NCBI_gene:3123	0.03	0.02	0.185185185185	0.1875	0.155	0.155	0.485648148148	0.503184315684
ZFIN:ZDB-GENE-070117-512	NCBI_gene:100288687	0.03	0.02	0.178571428571	0.175	0.13	0.12	0.332318734091	0.321432360743
ZFIN:ZDB-GENE-070117-510	NCBI_gene:6777	0.03	0.02	0.155172413793	0.151515151515	0.06	0.055	0.277873070326	0.248081841432
ZFIN:ZDB-GENE-070117-510	NCBI_gene:137682	0.03	0.02	0.18085106383	0.170212765957	0.11	0.11	0.263331239608	0.276737967914
ZFIN:ZDB-GENE-070117-508	NCBI_gene:286887	0.03	0.02	0.229166666667	0.225806451613	0.06	0.05	0.286724590826	0.275252525253
ZFIN:ZDB-GENE-070117-463	NCBI_gene:6231	0.03	0.02	0.254237288136	0.222222222222	0.12	0.115	0.452153110048	0.391666666667
ZFIN:ZDB-GENE-070117-386	NCBI_gene:3035	0.03	0.02	0.215053763441	0.194444444444	0.095	0.095	0.334535834536	0.325
ZFIN:ZDB-GENE-070117-334	NCBI_gene:57096	0.03	0.02	0.234693877551	0.25	0.115	0.11	0.389076576577	0.370769230769
ZFIN:ZDB-GENE-070117-262	NCBI_gene:8425	0.03	0.02	0.272727272727	0.3125	0.0925	0.0875	0.447064989518	0.480811403509
ZFIN:ZDB-GENE-070117-262	NCBI_gene:57096	0.03	0.02	0.21201678154	0.238095238095	0.0925	0.0875	0.485269660252	0.479166666667
ZFIN:ZDB-GENE-070117-262	NCBI_gene:284058	0.03	0.02	0.230769230769	0.277777777778	0.0925	0.0875	0.502791068581	0.501225490196
ZFIN:ZDB-GENE-070117-262	NCBI_gene:100151683	0.03	0.02	0.214285714286	0.25	0.1175	0.1175	0.496212121212	0.485745614035
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:773	0.03	0.02	0.285714285714	0.285714285714	0.1075	0.1075	0.479846729847	0.444088319088
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:57704	0.03	0.02	0.284366576819	0.272727272727	0.1075	0.1075	0.455689916511	0.422202797203
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:284058	0.03	0.02	0.259259259259	0.258064516129	0.1075	0.1075	0.424019607843	0.41
ZFIN:ZDB-GENE-070117-2414	NCBI_gene:8425	0.03	0.02	0.259259259259	0.259259259259	0.145	0.135	0.494071815718	0.504807692308
ZFIN:ZDB-GENE-070117-2414	NCBI_gene:6928	0.03	0.02	0.25	0.238095238095	0.12	0.12	0.452384421134	0.444444444444
ZFIN:ZDB-GENE-070117-2414	NCBI_gene:3887	0.03	0.02	0.28125	0.269230769231	0.085	0.08	0.455614973262	0.453441295547
ZFIN:ZDB-GENE-070117-2414	NCBI_gene:1540	0.03	0.02	0.228571428571	0.216216216216	0.09	0.08	0.370343137255	0.368673050616
ZFIN:ZDB-GENE-070117-2414	NCBI_gene:151	0.03	0.02	0.285714285714	0.277777777778	0.085	0.08	0.607142857143	0.59
ZFIN:ZDB-GENE-070117-231	NCBI_gene:26873	0.03	0.02	0.276363636364	0.292613636364	0.0675	0.065	0.385148656375	0.411018075492
