Gene1	Gene2	Better Similarity With Homology	Similarity With Homology	LCS With Homology	Annotation Pair leading to best match	Common subsumer set	Similarity Without Homology	LCS Without Homology	Annotation Pair leading to best match	Common subsumer set	
MGI:2447658	ZFIN:ZDB-GENE-090122-1	-1	3.29	WithHomologyUBERON_0001895	MP_0000852--ZP_0007519	WithHomologyBFO_0000040,WithHomologyUBERON_0002028,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000481,WithHomologyUBERON_0000064,WithHomologyUBERON_0001062,WithHomologyUBERON_0000062,WithHomologyUBERON_0002616,WithHomologyUBERON_0000073,WithHomologyUBERON_0000063,WithHomologyUBERON_0000955,WithHomologyUBERON_0000467,WithHomologyUBERON_0004121,WithHomologyUBERON_0004732,WithHomologyUBERON_0004733,WithHomologyUBERON_0001895,WithHomologyUBERON_0010314,WithHomologyUBERON_0001016,WithHomologyUBERON_0000061,WithHomologyUBERON_0010000	4.47	WithoutHomologyUBERON_0002784	MP_0000832--ZP_0009295	WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0002616,WithoutHomologyUBERON_0002780,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0002784,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000073,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0001062
MGI:1277186	ZFIN:ZDB-GENE-040801-149	-1	2.7	WithHomologyUBERON_0002050	MP_0000776--ZP_0006802	WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000061,WithHomologyUBERON_0005423,WithHomologyUBERON_0001062,WithHomologyUBERON_0002050,WithHomologyUBERON_0000467	4.75	WithoutHomologyUBERON_0002280	MP_0003143--ZP_0001624	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000465,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0002280,WithoutHomologyUBERON_0000476
MGI:1276578	ZFIN:ZDB-GENE-091118-129	-1	1.57	WithHomologyUBERON_0002390	MP_0002875--ZP_0000562	WithHomologyBFO_0000040,WithHomologyCL_0000000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyGO_0005575,WithHomologyUBERON_0000061,WithHomologyUBERON_0002390,WithHomologyUBERON_0004120,WithHomologyUBERON_0001062,WithHomologyUBERON_0000467	4.6	WithoutHomologyCL_0000037	MP_0004809--ZP_0000022	WithoutHomologyCL_0000048,WithoutHomologyGO_0005623,WithoutHomologyCL_0000723,WithoutHomologyCL_0002371,WithoutHomologyCL_0000000,WithoutHomologyCL_0000003,WithoutHomologyCL_0000255,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000465,WithoutHomologyCL_0008001,WithoutHomologyCL_0000034,WithoutHomologyCL_0000988,WithoutHomologyCL_0000037,WithoutHomologyCL_0000548,WithoutHomologyGO_0005575
MGI:1346086	ZFIN:ZDB-GENE-060929-512	-1	0	None			1.71	WithoutHomologyGO_0009790	MP_0001730--ZP_0001589	WithoutHomologyGO_0032502,WithoutHomologyGO_0009790,WithoutHomologyGO_0044767,WithoutHomologyGO_0044699,WithoutHomologyGO_0008150,WithoutHomologyGO_0048856
MGI:97890	ZFIN:ZDB-GENE-040426-2286	-1	0.78	WithHomologyCL_0000000	MP_0012114--ZP_0006173	WithHomologyBFO_0000040,WithHomologyCL_0000000,WithHomologyGO_0005575,WithHomologyUBERON_0000465,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062	1.11	WithoutHomologyGO_0044763	MP_0011191--ZP_0006173	WithoutHomologyGO_0005623,WithoutHomologyGO_0008150,WithoutHomologyCL_0000000,WithoutHomologyGO_0008152,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0000061,WithoutHomologyGO_0044763,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0044699,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0009987,WithoutHomologyGO_0005575
MGI:1276574	ZFIN:ZDB-GENE-030131-2581	0	2.76	WithHomologyUBERON_0000166	MP_0000120--ZP_0003412	WithHomologyBFO_0000040,WithHomologyUBERON_0013522,WithHomologyUBERON_0011676,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000033,WithHomologyUBERON_0001245,WithHomologyUBERON_0010314,WithHomologyUBERON_0004111,WithHomologyUBERON_0000064,WithHomologyUBERON_0000161,WithHomologyUBERON_0000062,WithHomologyUBERON_0000166,WithHomologyUBERON_0000165,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062,WithHomologyUBERON_0001434,WithHomologyUBERON_0000467,WithHomologyUBERON_0000475,WithHomologyUBERON_0000477,WithHomologyUBERON_0004906,WithHomologyUBERON_0004121,WithHomologyUBERON_0004921,WithHomologyUBERON_0004765	2.76	WithoutHomologyUBERON_0000165	MP_0000120--ZP_0003412	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0001444,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000165,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0004921,WithoutHomologyUBERON_0001434,WithoutHomologyUBERON_0004906,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0001456,WithoutHomologyUBERON_0007811,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0013522,WithoutHomologyUBERON_0004765,WithoutHomologyUBERON_0001062
MGI:1891346	ZFIN:ZDB-GENE-060110-1	-1	2.29	WithHomologyUBERON_0003129	MP_0002622--ZP_0010764	WithHomologyUBERON_0000477,WithHomologyUBERON_0000475,WithHomologyBFO_0000040,WithHomologyUBERON_0001474,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0003129,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0000075,WithHomologyUBERON_0000033,WithHomologyUBERON_0003128,WithHomologyUBERON_0001062,WithHomologyUBERON_0000467,WithHomologyUBERON_0010314,WithHomologyUBERON_0001434,WithHomologyUBERON_0011676,WithHomologyUBERON_0004765,WithHomologyUBERON_0010000,WithHomologyUBERON_0011216	2.31	WithoutHomologyUBERON_0003129	MP_0002622--ZP_0010764	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0000075,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0010912,WithoutHomologyUBERON_0001444,WithoutHomologyUBERON_0010314,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0005944,WithoutHomologyUBERON_0001474,WithoutHomologyUBERON_0001434,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0003457,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0001456,WithoutHomologyUBERON_0007811,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0007914,WithoutHomologyUBERON_0003129,WithoutHomologyUBERON_0003128,WithoutHomologyUBERON_0011216,WithoutHomologyUBERON_0004765,WithoutHomologyUBERON_0001062
MGI:98248	ZFIN:ZDB-GENE-060906-1	-1	0.94	WithHomologyUBERON_0010314	MP_0005277--ZP_0001365	WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0004121,WithHomologyUBERON_0001062,WithHomologyUBERON_0010314,WithHomologyUBERON_0010000	1.55	WithoutHomologyGO_0007610	MP_0009546--ZP_0003323	WithoutHomologyGO_0050896,WithoutHomologyGO_0008150,WithoutHomologyGO_0007610
MGI:1343498	ZFIN:ZDB-GENE-070117-2062	0	4.28	WithHomologyUBERON_0001091	MP_0004830--ZP_0007402	WithHomologyUBERON_0003102,WithHomologyUBERON_0000475,WithHomologyUBERON_0001091,WithHomologyUBERON_0000465,WithHomologyBFO_0000040,WithHomologyUBERON_0003913,WithHomologyUBERON_0000062,WithHomologyUBERON_0000033,WithHomologyUBERON_0000061,WithHomologyUBERON_0004121,WithHomologyUBERON_0001062,WithHomologyUBERON_0010314,WithHomologyUBERON_0004765,WithHomologyUBERON_0010000,WithHomologyUBERON_0011676	4.28	WithoutHomologyUBERON_0003913	MP_0004830--ZP_0007402	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0003913,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000475,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004765,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0003102,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0001091
MGI:1859516	ZFIN:ZDB-GENE-030131-2022	0	0	None			0	None		
