Gene1	Gene2	Better Similarity With Homology	Similarity With Homology	LCS With Homology	Annotation Pair leading to best match	Common subsumer set	Similarity Without Homology	LCS Without Homology	Annotation Pair leading to best match	Common subsumer set	
MGI:104687	NCBI_gene:1286	-1	2.32	WithHomologyUBERON_0001690	MP_0004740--HP_0000365	WithHomologyUBERON_0000475,WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000062,WithHomologyUBERON_0000020,WithHomologyUBERON_0001690,WithHomologyUBERON_0000061,WithHomologyUBERON_0000467,WithHomologyUBERON_0000033,WithHomologyUBERON_0001062,WithHomologyUBERON_0001032,WithHomologyUBERON_0010314,WithHomologyUBERON_0010000,WithHomologyUBERON_0011676	3.4	WithoutHomologyUBERON_0001088	MP_0005161--HP_0000093	WithoutHomologyUBERON_0000480,WithoutHomologyGO_0065007,WithoutHomologyGO_0008152,WithoutHomologyUBERON_0001008,WithoutHomologyUBERON_0000061,WithoutHomologyGO_0065008,WithoutHomologyGO_0042592,WithoutHomologyUBERON_0001088,WithoutHomologyUBERON_0000463,WithoutHomologyUBERON_0000174,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyGO_0008150,WithoutHomologyUBERON_0001062
MGI:104685	NCBI_gene:117581	-1	2.22	WithHomologyUBERON_0003102	MP_0001221--HP_0000322	WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000064,WithHomologyUBERON_0003102,WithHomologyUBERON_0000061,WithHomologyUBERON_0004121,WithHomologyUBERON_0001062,WithHomologyBFO_0000040	3.19	WithoutHomologyGO_0044848	MP_0000416--HP_0002298	WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0001037,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0010314,WithoutHomologyGO_0008150,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0013703,WithoutHomologyUBERON_0000021,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000063,WithoutHomologyUBERON_0002416,WithoutHomologyUBERON_0010166,WithoutHomologyUBERON_0004529,WithoutHomologyUBERON_0010164,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0044848,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0006003,WithoutHomologyUBERON_0000477
MGI:104688	NCBI_gene:1285	-1	3.94	WithHomologyUBERON_0001229	MP_0011409--HP_0000099	WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000481,WithHomologyUBERON_0000064,WithHomologyUBERON_0000061,WithHomologyUBERON_0001229,WithHomologyUBERON_0001062,WithHomologyUBERON_0001008,WithHomologyUBERON_0001285,WithHomologyUBERON_0010000	4.03	WithoutHomologyUBERON_0000074	MP_0011506--HP_0000099	WithoutHomologyUBERON_0000074,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0001229,WithoutHomologyUBERON_0001851,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0001225,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0011143,WithoutHomologyUBERON_0001285,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0005172,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0005173,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0003103,WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0015212,WithoutHomologyUBERON_0005177,WithoutHomologyUBERON_0001008,WithoutHomologyUBERON_0000489,WithoutHomologyUBERON_0002113,WithoutHomologyUBERON_0001062
MGI:101876	NCBI_gene:7003	-1	0.84	WithHomologyUBERON_0004535	MP_0002189--HP_0000533	WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyBFO_0000040,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0004120,WithHomologyUBERON_0004535,WithHomologyUBERON_0001062,WithHomologyUBERON_0010314,WithHomologyUBERON_0010000	1.5	WithoutHomologyGO_0003008	MP_0005333--HP_0000545	WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0008150,WithoutHomologyUBERON_0000467,WithoutHomologyGO_0044707,WithoutHomologyGO_0032501,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0044699,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0003008
MGI:101877	NCBI_gene:6938	0	1.56	WithHomologyUBERON_0000955	MP_0000914--HP_0002007	WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0004121,WithHomologyUBERON_0001062,WithHomologyUBERON_0001016,WithHomologyUBERON_0000955,WithHomologyUBERON_0010000,WithHomologyUBERON_0000467	1.56	WithoutHomologyUBERON_0000955	MP_0000914--HP_0002007	WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000955,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121
MGI:101875	NCBI_gene:7066	-1	1.52	WithHomologyUBERON_0002390	MP_0003179--HP_0002488	WithHomologyUBERON_0002405,WithHomologyBFO_0000040,WithHomologyCL_0000000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyGO_0005575,WithHomologyUBERON_0000061,WithHomologyUBERON_0002390,WithHomologyUBERON_0004120,WithHomologyUBERON_0001062,WithHomologyUBERON_0000467	3.8	WithoutHomologyCL_0000556	MP_0003179--HP_0001894	WithoutHomologyCL_0001035,WithoutHomologyCL_0008001,WithoutHomologyUBERON_0002405,WithoutHomologyUBERON_0002390,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyCL_0002031,WithoutHomologyUBERON_0004120,WithoutHomologyGO_0005575,WithoutHomologyGO_0048869,WithoutHomologyGO_0005623,WithoutHomologyGO_0008150,WithoutHomologyCL_0000000,WithoutHomologyCL_0000003,WithoutHomologyCL_0000163,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyCL_0000553,WithoutHomologyCL_0000225,WithoutHomologyCL_0000556,WithoutHomologyCL_1001610,WithoutHomologyCL_0000457,WithoutHomologyGO_0048513,WithoutHomologyCL_0000763,WithoutHomologyCL_0000255,WithoutHomologyGO_0032502,WithoutHomologyCL_0000458,WithoutHomologyCL_0000081,WithoutHomologyGO_0030154,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyGO_0044763,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0044767,WithoutHomologyGO_0048856,WithoutHomologyCL_0002371,WithoutHomologyGO_0044699,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0002521,WithoutHomologyUBERON_0004177,WithoutHomologyCL_0000839,WithoutHomologyCL_0000151,WithoutHomologyGO_0048534,WithoutHomologyCL_0000233,WithoutHomologyGO_0008152,WithoutHomologyCL_0002092,WithoutHomologyGO_0030097,WithoutHomologyCL_0000988,WithoutHomologyGO_0009987,WithoutHomologyCL_0000548
MGI:98325	NCBI_gene:6609	-1	3.04	WithHomologyUBERON_0001637	MP_0004778--HP_0003609	WithHomologyUBERON_0000055,WithHomologyBFO_0000040,WithHomologyUBERON_0000477,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0001981,WithHomologyUBERON_0000061,WithHomologyUBERON_0000467,WithHomologyUBERON_0004120,WithHomologyUBERON_0004535,WithHomologyUBERON_0001062,WithHomologyUBERON_0004111,WithHomologyUBERON_0003509,WithHomologyUBERON_0001637	3.38	WithoutHomologyCL_0000235	MP_0004778--HP_0001982	WithoutHomologyCL_0000325,WithoutHomologyCL_0000219,WithoutHomologyCL_0000081,WithoutHomologyUBERON_0002405,WithoutHomologyUBERON_0002390,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyGO_0005575,WithoutHomologyGO_0005623,WithoutHomologyGO_0008150,WithoutHomologyCL_0000000,WithoutHomologyCL_0000003,WithoutHomologyGO_0030097,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyCL_0000518,WithoutHomologyCL_0002087,WithoutHomologyGO_0044699,WithoutHomologyCL_0000473,WithoutHomologyCL_0000766,WithoutHomologyGO_0048513,WithoutHomologyCL_0000763,WithoutHomologyCL_0000255,WithoutHomologyGO_0032502,WithoutHomologyUBERON_0004177,WithoutHomologyCL_0000226,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0001062,WithoutHomologyCL_0000842,WithoutHomologyGO_0044767,WithoutHomologyCL_0002242,WithoutHomologyGO_0048856,WithoutHomologyCL_0002371,WithoutHomologyCL_0000145,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0048534,WithoutHomologyCL_0000738,WithoutHomologyCL_0000234,WithoutHomologyCL_0000235,WithoutHomologyCL_0000113,WithoutHomologyCL_0000988,WithoutHomologyCL_0000548
MGI:1927248	NCBI_gene:3758	-1	2.19	WithHomologyUBERON_0001008	MP_0000519--HP_0012600	WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062,WithHomologyUBERON_0001008	4.65	WithoutHomologyGO_0060073	MP_0001762--HP_0000103	WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyGO_0008150,WithoutHomologyGO_0007588,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyGO_0003014,WithoutHomologyUBERON_0011143,WithoutHomologyGO_0060073,WithoutHomologyGO_0044699,WithoutHomologyGO_0044707,WithoutHomologyGO_0032501,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0005173,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0003103,WithoutHomologyUBERON_0005172,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0015212,WithoutHomologyUBERON_0005177,WithoutHomologyUBERON_0001008,WithoutHomologyUBERON_0000489,WithoutHomologyUBERON_0002113,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0003008
MGI:87911	NCBI_gene:90	-1	4.5	WithHomologyUBERON_0003861	MP_0004609--HP_0008449	WithHomologyUBERON_0000477,WithHomologyUBERON_0004905,WithHomologyUBERON_0001474,WithHomologyUBERON_0003861,WithHomologyUBERON_0010363,WithHomologyUBERON_0000480,WithHomologyUBERON_0010358,WithHomologyUBERON_0000465,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0004120,WithHomologyUBERON_0000982,WithHomologyUBERON_0001062,WithHomologyUBERON_0001434,WithHomologyUBERON_0002513,WithHomologyUBERON_0004765,WithHomologyUBERON_0010000,WithHomologyUBERON_0000467	5.59	WithoutHomologyUBERON_0001448	MP_0004635--HP_0010054	WithoutHomologyUBERON_0004375,WithoutHomologyUBERON_0001448,WithoutHomologyUBERON_0012357,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0010912,WithoutHomologyUBERON_0002428,WithoutHomologyUBERON_0012359,WithoutHomologyUBERON_0003608,WithoutHomologyUBERON_0002101,WithoutHomologyUBERON_0003606,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010740,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0010742,WithoutHomologyUBERON_0015036,WithoutHomologyUBERON_0001474,WithoutHomologyUBERON_0000026,WithoutHomologyUBERON_0001434,WithoutHomologyUBERON_0005899,WithoutHomologyUBERON_0002495,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0002513,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0003821,WithoutHomologyUBERON_0015063,WithoutHomologyUBERON_0015061,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0011250,WithoutHomologyUBERON_0003464,WithoutHomologyUBERON_0010363,WithoutHomologyUBERON_0015022,WithoutHomologyUBERON_0011216,WithoutHomologyUBERON_0004765,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0002091,WithoutHomologyUBERON_0004708
MGI:87912	NCBI_gene:93	-1	3.73	WithHomologyUBERON_0002094	MP_0010402--HP_0010438	WithHomologyBFO_0000040,WithHomologyUBERON_0002099,WithHomologyUBERON_0004535,WithHomologyUBERON_0002094,WithHomologyUBERON_0005181,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0004120,WithHomologyUBERON_0004151,WithHomologyUBERON_0010314,WithHomologyUBERON_0000064,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0000948,WithHomologyUBERON_0001062,WithHomologyUBERON_0002082,WithHomologyUBERON_0000467,WithHomologyUBERON_0003037,WithHomologyUBERON_0007100,WithHomologyUBERON_0003103,WithHomologyUBERON_0005177,WithHomologyUBERON_0015228	3.95	WithoutHomologyUBERON_0001443	MP_0000650--HP_0001651	WithoutHomologyUBERON_0004535,WithoutHomologyUBERON_0009569,WithoutHomologyUBERON_0007100,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0010912,WithoutHomologyUBERON_0001443,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0015228,WithoutHomologyUBERON_0000948,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0005944,WithoutHomologyUBERON_0001434,WithoutHomologyUBERON_0005181,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0003103,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0005177,WithoutHomologyUBERON_0011216,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061
