Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-030219-146	NCBI_gene:168667	0.03	0.02	0.227272727273	0.227272727273	0.11	0.11	0.394396551724	0.397619047619
ZFIN:ZDB-GENE-030131-9875	NCBI_gene:10324	0.03	0.02	0.216216216216	0.206896551724	0.12	0.115	0.504081632653	0.471334586466
ZFIN:ZDB-GENE-030131-9790	NCBI_gene:26154	0.03	0.02	0.159090909091	0.159592529711	0.1475	0.1475	0.381792717087	0.367054263566
ZFIN:ZDB-GENE-030131-945	NCBI_gene:54585	0.03	0.02	0.229020979021	0.227272727273	0.06	0.055	0.523601398601	0.488636363636
ZFIN:ZDB-GENE-030131-9123	NCBI_gene:4313	0.03	0.02	0.202702702703	0.2	0.1525	0.1275	0.493008059303	0.507712765957
ZFIN:ZDB-GENE-030131-9102	NCBI_gene:1277	0.03	0.02	0.21686746988	0.25	0.16	0.145	0.487012987013	0.479834085175
ZFIN:ZDB-GENE-030131-6960	NCBI_gene:4998	0.03	0.02	0.189873417722	0.185185185185	0.1675	0.15	0.618205921343	0.597394540943
ZFIN:ZDB-GENE-030131-651	NCBI_gene:148738	0.03	0.02	0.146551724138	0.130434782609	0.105	0.08	0.284166173862	0.265963203463
ZFIN:ZDB-GENE-030131-5911	NCBI_gene:5781	0.03	0.02	0.182926829268	0.181818181818	0.165	0.165	0.451794871795	0.454545454545
ZFIN:ZDB-GENE-030131-555	NCBI_gene:889	0.03	0.02	0.227457501848	0.221111111111	0.14	0.14	0.495462794918	0.446360153257
ZFIN:ZDB-GENE-030131-5509	NCBI_gene:284119	0.03	0.02	0.244379391101	0.227272727273	0.085	0.085	0.439775910364	0.446013289037
ZFIN:ZDB-GENE-030131-5143	NCBI_gene:9128	0.03	0.02	0.210633802817	0.192307692308	0.1175	0.1175	0.630742913001	0.597222222222
ZFIN:ZDB-GENE-030131-4218	NCBI_gene:57526	0.03	0.03	0.19696969697	0.178571428571	0.0825	0.0825	0.372994652406	0.33875
ZFIN:ZDB-GENE-030131-3813	NCBI_gene:54903	0.03	0.02	0.2	0.190476190476	0.165	0.15	0.506677350427	0.487179487179
ZFIN:ZDB-GENE-030131-3776	NCBI_gene:5728	0.03	0.02	0.205128205128	0.2	0.165	0.155	0.528487460815	0.520884520885
ZFIN:ZDB-GENE-030131-3207	NCBI_gene:6873	0.03	0.02	0.223214285714	0.216216216216	0.15	0.13	0.420772676372	0.411057692308
ZFIN:ZDB-GENE-030131-3205	NCBI_gene:29914	0.03	0.02	0.196261682243	0.184210526316	0.07	0.065	0.27057868602	0.255760368664
ZFIN:ZDB-GENE-030131-2887	NCBI_gene:55703	0.03	0.02	0.21199280945	0.194444444444	0.14	0.14	0.341305953057	0.328425925926
ZFIN:ZDB-GENE-030131-2702	NCBI_gene:7249	0.03	0.02	0.227848101266	0.235294117647	0.16	0.155	0.550373322571	0.545751633987
ZFIN:ZDB-GENE-030131-2513	NCBI_gene:8635	0.03	0.03	0.22641509434	0.194444444444	0.08	0.08	0.48141025641	0.477192982456
ZFIN:ZDB-GENE-030131-2415	NCBI_gene:857	0.03	0.02	0.190476190476	0.190476190476	0.145	0.13	0.530769230769	0.505714285714
ZFIN:ZDB-GENE-030131-1280	NCBI_gene:5295	0.03	0.02	0.238636363636	0.225806451613	0.09	0.085	0.340909090909	0.327188940092
ZFIN:ZDB-GENE-030131-1033	NCBI_gene:375790	0.03	0.02	0.192787524366	0.1875	0.145	0.1375	0.439772727273	0.431597222222
ZFIN:ZDB-GENE-030131-102	NCBI_gene:1490	0.03	0.02	0.184931506849	0.208333333333	0.1425	0.1425	0.365251745401	0.37384544335
ZFIN:ZDB-GENE-030128-4	NCBI_gene:4088	0.03	0.02	0.222222222222	0.227272727273	0.1125	0.1125	0.484126984127	0.503194444444
ZFIN:ZDB-GENE-021226-1	NCBI_gene:3912	0.03	0.03	0.225	0.212121212121	0.175	0.165	0.63657120743	0.635322822823
ZFIN:ZDB-GENE-021223-2	NCBI_gene:4160	0.03	0.03	0.0714285714286	0.0909090909091	0.075	0.075	0.663636363636	0.6125
ZFIN:ZDB-GENE-021223-1	NCBI_gene:1605	0.03	0.02	0.211942959002	0.21568627451	0.175	0.17	0.431677018634	0.43235636646
ZFIN:ZDB-GENE-021217-3	NCBI_gene:200894	0.03	0.02	0.169811320755	0.18	0.115	0.11	0.320020222447	0.316233766234
ZFIN:ZDB-GENE-020731-6	NCBI_gene:2332	0.03	0.03	0.225	0.208333333333	0.1625	0.1625	0.547825540473	0.534893589241
ZFIN:ZDB-GENE-020709-1	NCBI_gene:4647	0.03	0.02	0.144329896907	0.133780332056	0.13	0.13	0.545019157088	0.508451536643
ZFIN:ZDB-GENE-020426-1	NCBI_gene:3832	0.03	0.02	0.258620689655	0.258661887694	0.15	0.15	0.638392857143	0.634722222222
ZFIN:ZDB-GENE-020424-3	NCBI_gene:4000	0.03	0.02	0.176470588235	0.171428571429	0.21	0.21	0.449204406365	0.44696969697
ZFIN:ZDB-GENE-020108-2	NCBI_gene:6261	0.03	0.02	0.173228346457	0.171428571429	0.25	0.245	0.574986266252	0.571008403361
ZFIN:ZDB-GENE-010803-2	NCBI_gene:81848	0.03	0.02	0.184049079755	0.166666666667	0.1	0.095	0.344242216117	0.327651515152
ZFIN:ZDB-GENE-010131-8	NCBI_gene:1509	0.03	0.02	0.230769230769	0.25	0.125	0.11	0.410324848024	0.402647058824
ZFIN:ZDB-GENE-001030-3	NCBI_gene:7849	0.03	0.03	0.15	0.146341463415	0.11	0.11	0.288767507003	0.285215287857
ZFIN:ZDB-GENE-000828-1	NCBI_gene:6334	0.03	0.02	0.153846153846	0.148148148148	0.08	0.08	0.37184562098	0.316066066066
ZFIN:ZDB-GENE-000626-1	NCBI_gene:7139	0.03	0.02	0.214285714286	0.2	0.175	0.17	0.482024944974	0.498708010336
ZFIN:ZDB-GENE-000412-1	NCBI_gene:627	0.03	0.02	0.17094017094	0.176470588235	0.15	0.12	0.556221198157	0.52990430622
ZFIN:ZDB-GENE-000329-5	NCBI_gene:4854	0.03	0.02	0.230769230769	0.225806451613	0.115	0.115	0.494047619048	0.503787878788
ZFIN:ZDB-GENE-000210-23	NCBI_gene:4212	0.03	0.02	0.235294117647	0.222222222222	0.15	0.15	0.622921522922	0.586805555556
ZFIN:ZDB-GENE-000210-19	NCBI_gene:5950	0.03	0.02	0.172811059908	0.171428571429	0.105	0.105	0.339092641105	0.324098557692
ZFIN:ZDB-GENE-060607-11	NCBI_gene:2034	0.025	0.025	0.138888888889	0.132075471698	0.1	0.1	0.341571834993	0.322967301976
ZFIN:ZDB-GENE-991110-14	NCBI_gene:4602	0.02	0.02	0.212765957447	0.212406015038	0.11	0.11	0.434632005703	0.424494949495
ZFIN:ZDB-GENE-991105-4	NCBI_gene:2697	0.02	0.02	0.133333333333	0.157894736842	0.15	0.15	0.343406593407	0.401759530792
ZFIN:ZDB-GENE-990714-15	NCBI_gene:1786	0.02	0.02	0.181818181818	0.166666666667	0.11	0.105	0.305227405483	0.301762820513
ZFIN:ZDB-GENE-990603-8	NCBI_gene:4089	0.02	0.02	0.197368421053	0.227272727273	0.07	0.065	0.46440208537	0.445436507937
ZFIN:ZDB-GENE-990415-277	NCBI_gene:8456	0.02	0.02	0.211764705882	0.206896551724	0.08	0.08	0.369047619048	0.332894736842
ZFIN:ZDB-GENE-990415-270	NCBI_gene:7157	0.02	0.02	0.206896551724	0.206896551724	0.12	0.12	0.577777777778	0.576016260163
ZFIN:ZDB-GENE-990415-131	NCBI_gene:3064	0.02	0.02	0.203389830508	0.1875	0.125	0.115	0.48961038961	0.454415954416
ZFIN:ZDB-GENE-980526-501	NCBI_gene:6886	0.02	0.02	0.227848101266	0.214285714286	0.105	0.1	0.390731292517	0.365079365079
ZFIN:ZDB-GENE-980526-476	NCBI_gene:2626	0.02	0.02	0.148571428571	0.148148148148	0.095	0.0925	0.452141608392	0.430555555556
ZFIN:ZDB-GENE-980526-440	NCBI_gene:865	0.02	0.02	0.212121212121	0.2	0.06	0.05	0.401094276094	0.370731707317
ZFIN:ZDB-GENE-980526-362	NCBI_gene:1499	0.02	0.02	0.223782403771	0.258064516129	0.0875	0.0875	0.460763888889	0.5
ZFIN:ZDB-GENE-980526-352	NCBI_gene:54361	0.02	0.02	0.156869446343	0.145454545455	0.0675	0.06	0.20837189425	0.192813267813
ZFIN:ZDB-GENE-980526-333	NCBI_gene:6658	0.02	0.02	0.188679245283	0.173913043478	0.07	0.07	0.34880952381	0.326388888889
ZFIN:ZDB-GENE-980526-260	NCBI_gene:2624	0.02	0.02	0.203389830508	0.193548387097	0.125	0.1175	0.437716450216	0.440773809524
ZFIN:ZDB-GENE-980526-255	NCBI_gene:2260	0.02	0.02	0.137931034483	0.149626865672	0.15	0.14	0.331706964846	0.346507352941
ZFIN:ZDB-GENE-980526-137	NCBI_gene:1134	0.02	0.02	0.168224299065	0.157894736842	0.15	0.15	0.393018018018	0.412513255567
ZFIN:ZDB-GENE-980526-125	NCBI_gene:84667	0.02	0.02	0.104166666667	0.131578947368	0.1125	0.1125	0.281632653061	0.326388888889
ZFIN:ZDB-GENE-110524-4	NCBI_gene:7253	0.02	0.02	0.248287671233	0.25	0.08	0.075	0.429032258065	0.458231368187
ZFIN:ZDB-GENE-091204-117	NCBI_gene:27031	0.02	0.02	0.196329813977	0.2	0.1775	0.16	0.604320679321	0.610446570973
ZFIN:ZDB-GENE-091012-1	NCBI_gene:6584	0.02	0.02	0.138770053476	0.125	0.0525	0.0525	0.242004971002	0.205171358629
ZFIN:ZDB-GENE-090109-2	NCBI_gene:11141	0.02	0.02	0.197802197802	0.171428571429	0.095	0.095	0.476117103236	0.460164835165
ZFIN:ZDB-GENE-081119-4	NCBI_gene:341640	0.02	0.02	0.139784946237	0.139534883721	0.155	0.135	0.342486729277	0.365728900256
ZFIN:ZDB-GENE-080717-1	NCBI_gene:9839	0.02	0.02	0.127272727273	0.122807017544	0.1725	0.17	0.346969801434	0.338972431078
ZFIN:ZDB-GENE-080506-1	NCBI_gene:84466	0.02	0.02	0.150829383886	0.178571428571	0.1525	0.1475	0.39987135506	0.450459697234
ZFIN:ZDB-GENE-080405-1	NCBI_gene:7015	0.02	0.02	0.191489361702	0.181818181818	0.17	0.17	0.506578947368	0.5
ZFIN:ZDB-GENE-080103-2	NCBI_gene:5618	0.02	0.02	0.185493119266	0.184210526316	0.045	0.0425	0.221427846613	0.209750600082
ZFIN:ZDB-GENE-080102-2	NCBI_gene:1103	0.02	0.02	0.15625	0.162162162162	0.0975	0.0975	0.435606060606	0.515972222222
ZFIN:ZDB-GENE-070922-1	NCBI_gene:1950	0.02	0.02	0.147540983607	0.130434782609	0.025	0.025	0.270470383275	0.233766233766
ZFIN:ZDB-GENE-070828-1	NCBI_gene:1584	0.02	0.02	0.243243243243	0.230769230769	0.06	0.06	0.346621621622	0.305860805861
ZFIN:ZDB-GENE-070501-10	NCBI_gene:3679	0.02	0.02	0.151515151515	0.15625	0.08	0.075	0.413064468212	0.409420289855
ZFIN:ZDB-GENE-070501-1	NCBI_gene:8291	0.02	0.02	0.157568238213	0.162713734142	0.105	0.105	0.438232331711	0.410714285714
ZFIN:ZDB-GENE-070424-54	NCBI_gene:5800	0.02	0.02	0.0874551971326	0.0979608156737	0.135	0.125	0.253095267057	0.256720930899
ZFIN:ZDB-GENE-070423-1	NCBI_gene:2673	0.02	0.02	0.138888888889	0.128917378917	0.115	0.11	0.322252747253	0.3025
ZFIN:ZDB-GENE-070314-1	NCBI_gene:5915	0.02	0.02	0.146341463415	0.15625	0.13	0.125	0.371353724157	0.362903225806
ZFIN:ZDB-GENE-070117-1989	NCBI_gene:26128	0.02	0.02	0.208955223881	0.2	0.09	0.09	0.407246376812	0.35696969697
ZFIN:ZDB-GENE-070112-1002	NCBI_gene:29954	0.02	0.02	0.147909577054	0.162162162162	0.135	0.135	0.367948717949	0.413275193798
ZFIN:ZDB-GENE-061108-1	NCBI_gene:79068	0.02	0.02	0.150537634409	0.147844565877	0.145	0.145	0.371876158695	0.38085106383
ZFIN:ZDB-GENE-060929-966	NCBI_gene:10585	0.02	0.02	0.13698630137	0.162162162162	0.13	0.13	0.334805427547	0.388257575758
ZFIN:ZDB-GENE-060929-712	NCBI_gene:200205	0.02	0.01	0.0891779788839	0.0875136740116	0.06	0.06	0.237280701754	0.209721376885
ZFIN:ZDB-GENE-060810-94	NCBI_gene:8242	0.02	0.02	0.22641509434	0.210526315789	0.095	0.085	0.491562384983	0.435897435897
ZFIN:ZDB-GENE-060526-97	NCBI_gene:90678	0.02	0.02	0.189873417722	0.191489361702	0.1	0.095	0.346719457014	0.33625
ZFIN:ZDB-GENE-060503-723	NCBI_gene:55036	0.02	0.02	0.1953125	0.2	0.15	0.13	0.395652173913	0.377492877493
ZFIN:ZDB-GENE-060503-499	NCBI_gene:9149	0.02	0.02	0.142857142857	0.136363636364	0.08	0.08	0.333333333333	0.351851851852
ZFIN:ZDB-GENE-060307-1	NCBI_gene:79868	0.02	0.02	0.2	0.226539589443	0.09	0.09	0.538888888889	0.586471861472
ZFIN:ZDB-GENE-060126-1	NCBI_gene:582	0.02	0.02	0.128102564103	0.130434782609	0.155	0.135	0.309938098211	0.342142857143
ZFIN:ZDB-GENE-051120-90	NCBI_gene:5498	0.02	0.02	0.195652173913	0.181818181818	0.0725	0.0675	0.379051188854	0.371260683761
ZFIN:ZDB-GENE-051102-2	NCBI_gene:7827	0.02	0.02	0.147368421053	0.128205128205	0.2	0.2	0.263694638695	0.312244897959
ZFIN:ZDB-GENE-051102-1	NCBI_gene:4868	0.02	0.02	0.172043010753	0.177777777778	0.155	0.155	0.339239412273	0.35
ZFIN:ZDB-GENE-050913-68	NCBI_gene:25793	0.02	0.02	0.224318658281	0.219512195122	0.1	0.1	0.411466325661	0.405287114846
ZFIN:ZDB-GENE-050506-106	NCBI_gene:51124	0.02	0.02	0.2	0.171428571429	0.04	0.04	0.35219941349	0.33125
ZFIN:ZDB-GENE-050419-256	NCBI_gene:1106	0.02	0.02	0.171428571429	0.162162162162	0.095	0.09	0.249301605466	0.260294117647
ZFIN:ZDB-GENE-050417-383	NCBI_gene:6794	0.02	0.02	0.18918128655	0.181818181818	0.105	0.1	0.458892943205	0.462820512821
ZFIN:ZDB-GENE-050417-26	NCBI_gene:767	0.02	0.02	0.218181818182	0.221280602637	0.0925	0.0875	0.405948275862	0.425
ZFIN:ZDB-GENE-050327-99	NCBI_gene:23321	0.02	0.02	0.219512195122	0.1875	0.06	0.06	0.328731312725	0.320018115942
ZFIN:ZDB-GENE-050327-73	NCBI_gene:26276	0.02	0.02	0.195945945946	0.190476190476	0.185	0.185	0.567275747508	0.538636363636
ZFIN:ZDB-GENE-050320-85	NCBI_gene:1629	0.02	0.02	0.11706870229	0.114285714286	0.1	0.1	0.449860446571	0.552777777778
ZFIN:ZDB-GENE-050309-187	NCBI_gene:119559	0.02	0.02	0.172043010753	0.139534883721	0.155	0.155	0.48652271035	0.458333333333
ZFIN:ZDB-GENE-050302-100	NCBI_gene:57674	0.02	0.02	0.3	0.267948717949	0.125	0.125	0.508310696095	0.47192513369
ZFIN:ZDB-GENE-050127-1	NCBI_gene:9247	0.02	0.02	0.157894736842	0.142857142857	0.08	0.08	0.308231569426	0.3125
ZFIN:ZDB-GENE-050107-1	NCBI_gene:2065	0.02	0.02	0.185185185185	0.193548387097	0.105	0.095	0.363478863479	0.348484848485
